Deal owner,Deal Name,Chain,Deal Stage,State,TTE Servicing Pharmacy,# Beds,Probability of Close,Go Live Date,Incumbent Pharmacy,Delivery Type Updated,Number of Delivery Locations,Comment,Pipeline Date,Record ID
Blaire Reed,"1Derfull Minds, Inc.",,Sales - Initial Communication,TX,Austin,15,10%,5/1/2025,Hometown,Central Office,1,Following up with owner/RN,9/6/2024,28307990122
Deb Maloy,Benchmark Lima - (182214),Benchmark Human Services,Onboarding - Complete,OH,Austin,26,100%,6/1/2024,Williams Brothers,Central Office,1,Notice was given to end services 5/31/24 with Wms. Bros,7/28/2023,28306089579
Deb Maloy,Impact Support Services,,Sales - Inactive,MO,IL,30,20%,4/1/2025,Local,FedEx,4,REMOVE,6/14/2024,28303237255
Nanette Wrobel,Evergreen - National,Evergreen,Sales - Inactive,National,Austin,200,10%,6/1/2025,Sterling,TBD,,followup from previous rep,9/1/2022,28301386926
Deb Maloy,COR Services Lima,,Onboarding - Complete,OH,Austin,20,100%,11/1/2024,Genoa and Local,,1,Working with second region to bring on board,8/16/2024,28310457658
Deb Maloy,"RHDD, Inc.",,Sales - Contract Negotiation,OH,Austin,78,85%,9/1/2025,Coler,Courier,4,"ED is a very loyal preson and wants to attempt to work with current pharmacy, if things continue as is, will transition in second half of year.
",2/9/2024,28309381492
Blaire Reed,Magnolia Community Services,,Sales - Inactive,LA,LA,150,10%,4/1/2025,Patio,Central Office,1,"Remove from pipeline. Spoke with DON and per upper management and medical director they are not interested in switching pharmacies. Have a great relationship with Patio.
",8/23/2024,28309228444
AJ Forster,Barber National Institute,,Onboarding - In Progress,PA,NJ,275,100%,2/1/2025,"Willits, RX Partners, Vantage",Hybrid,3,Verbal received. Also reduced delivery sites to 3 pending lower level management review.,9/6/2024,28308454830
Adam Chittam,Coastal Autism Academy (292241),,Onboarding - Complete,SC,SC,43,100%,5/1/2024,Palmetto Rx,Central Office,1,Waiting on Signed agreement,2/9/2024,28308299436
AJ Forster,RHD - DE (382101),RHD,Onboarding - Complete,DE,NJ,25,100%,7/1/2024,Meds your way,Fed-Ex to home,4,Move to on-boarding,1/18/2024,28306859021
AJ Forster,RHD- NJ Group Homes,RHD,Sales - Presentation,NJ,NJ,80,50%,6/1/2025,CPS,Courier,1,"Meeting with Regional Director Monday to discuss NJ. 
",3/1/2023,28305158463
AJ Forster,Renoxx Caregivers,,Onboarding - In Progress,MD,NJ,5,100%,2/1/2025,None,Fed-Ex,1,Margin Submitted. Admitting residents in mid January.,5/3/2024,28303082604
Deb Maloy,Mains'l services,,Sales - Inactive,MN,Austin,130,15%,5/1/2025,"Geritom, Omnicare and Coburns",Courier,4,Received word from Lisa that have decided to remain with current pharmacy at this itme.,8/16/2024,28302927646
Jess Jacobs,Capper Foundation - El Dorado (481510),Capper Foundation,Onboarding - Complete,KS,KS-Lawrence,29,100%,4/1/2024,Winfield Pharmacy,Central Office,1,"OB, 3/8: need insurance for 14 pts (call scheduled 3/4; therap login provided); Collecting data. Go-Live 4/1; cycle start 4/15 onboarding directly through Wichita",7/14/2023,28302774531
AJ Forster,Melmark Dayhab (372121),Melmark,Onboarding - Complete,PA,NJ,0,100%,7/1/2024,Grane,Deliver-to-home,,this is a DH location that only has a housestock acct for items needed at Dayhab and will be delivered directly there,3/1/2023,28299311139
Adam Chittam,"Noble Care, LLC",,Sales - Initial Communication,VA,Austin,20,20%,1/1/2026,Jone's Pharmacy,FedEx,4,Met with Laurie at VNPP conference and scheduling a presentation,10/16/2024,28298690091
Adam Chittam,Wall Residences,,Sales - Initial Communication,VA,Austin,100,10%,9/1/2025,Pharmacy Alternatives,FedEx,10,"Completed Field Visit. Leave behind info left for Brittany Hash, RN Case Mgr of Group Homes",8/2/2024,28297048979
Adam Chittam,The ARC Macon,,Sales - Initial Communication,GA,GA,40,10%,6/1/2025,Dennards,Courier,3,Spoke with staff at GA Gathering conference getting connected to staff to schedule presentation,9/5/2024,28296894747
Nanette Wrobel,Brookwood Community,Brookwood Community,Sales - Inactive,TX,Austin,100,20%,9/1/2025,Omnicare,TBD,,"wants multidose, working on solutions",10/1/2023,28296138341
Adam Chittam,Sunrise Community PA (372114),Sunrise,Onboarding - Complete,PA,NJ,2,100%,1/4/2024,,Central Office,,received all transfers for both individuals already requested any new scripts needed ; Sales: Handed the Onboarding Jan 4 2024,,28296138340
Nanette Wrobel,Ablelight,Bethesda,Sales - Initial Communication,National,Austin,100,10%,6/1/2025,,TBD,,"national acct, research ongoing",1/1/2023,28308609364
Adam Chittam,Sertoma Knoxville (102027),Sertoma,Onboarding - Complete,TN,Austin,81,100%,5/1/2024,McFarland's,Central Office,1,"verbal approval, waiting on signed agreement",10/25/2023,28297048978
Nanette Wrobel,Center for Disability Services NY,,Sales - Initial Communication,NY,NJ,350,10%,9/1/2025,Pharmerica,Fedex,95,followup from previous rep,2/22/2024,28310611800
Blaire Reed,McCall's Chapel School,,Sales - Initial Communication,OK,Austin,330,10%,5/1/2025,Boomer Solutions,Central Office,1,"Met Admin at CPO-Cyndy Stone. Emails resent to facility. Planning drop by next week. Connected with DON and LI

",5/23/2024,28309074299
Mary Pelletier,CCARC,,Onboarding - In Progress,CT,CT,62,100%,3/1/2025,East Rock Pharmacy,Courier,17,"Mtg 1/9 on next steps; verbal for 4/1 go live may want 3/1- await agreement return.
",3/16/2023,28309074298
Nanette Wrobel,DDMS-Fern Park,,Onboarding - In Progress,FL,FL,64,100%,1/1/2025,PAL,4 pods in one location,,PAL being notified by 9/1/24 after addendum to contract,7/19/2024,28308918959
AJ Forster,OneWell,,Sales - Inactive,PA,NJ,200,50%,3/1/2025,Multiple,Deliver-to-Office,4,Remove,9/27/2024,28308454829
Jess Jacobs,Big Lakes Development Center,,Sales - Initial Communication,KS,KS-Lawrence,200,10%,2/1/2025,Barry's (local),Central Office,5,"DON Jina Moon reached out ot learn more, coordinating time to present",10/22/2024,28308144266
Mary Pelletier,CRI - Behavioral Health (352032),CRI,Onboarding - Complete,CT,CT,127,100%,5/1/2024,"Omnicare,Suburban,Benchmark",Courier,46,Contract signed; onboarding underway for 5/1 go Live,7/14/2023,28307466937
Nanette Wrobel,Marbridge SNF-Part 3 (2316),,Onboarding - Complete,TX,Austin,83,100%,6/1/2024,Pharmerica,cental office,1,Had a great meeting with Zenobia on Tuesday 11/14 and agreed on getting Rescinding of benefits form signed for every individual to end services with PAL 1/31/24.,9/1/2022,28306707089
Adam Chittam,Comcare Inc.,,Sales - Initial Communication,TN,Austin,60,10%,7/1/2025,Corley's (local),FedEx,1,reaching back out to see if we can line something up for December or early Q1,2/2/2024,28303392283
Jess Jacobs,One Vision,,Sales - Inactive,IA,Austin,60,25%,12/1/2024,HyVee,,,"coordinating with COO, Kelly Hinds, to schedule presentation",4/19/2024,28301695659
Adam Chittam,"Star Choices, Inc.",,Onboarding - In Progress,GA,GA,20,100%,2/1/2025,Riverside Pharmacy (local),Courier/FedEx,2,Received signed contract on 12/5/25.  Scheduling onboarding call for week of 12/9,4/26/2024,28300083233
Blaire Reed,Community Living Concepts,,Sales - Inactive,TX,Austin,50,10%,4/1/2025,Keene Pharmacy,Central Office,1,"Inviting to IDD symposium
",9/6/2024,28307466936
AJ Forster,Evergreen Elm,,Sales - Contract Negotiation,PA,NJ,50,25%,4/1/2025,Otts,Deliver to home,10,Continue to reach to CEO and Residential Director.,9/27/2024,28307012751
AJ Forster,Penn-Mar Human Services,,Sales - Initial Communication,MD,NJ,65,10%,4/1/2025,Anchor,Courier,30,Nurse attended virtual symposium.  Coordinating with DON and Residential Director for presentation,5/24/2024,28306859020
Mary Pelletier,Ability Beyond,Ability Beyond,Sales - Inactive,CT,CT,195,20%,6/1/2025,CT Pharmacy,Courier,34,Met at CTDDNA - Coffee with DON first week Dec.,1/4/2024,28303703465
Adam Chittam,Helton House Inc.,,Sales - Initial Communication,VA,Austin,60,20%,9/1/2025,Safe Dose,FedEx,8,CFO couldn't attend following up for presentation,10/7/2024,28303082603
AJ Forster,The Arc of Montgomery County,,Sales - Initial Communication,MD,NJ,70,10%,8/1/2025,Alco,TBD,35,Coordinating with the Dir of QA and Dir of Community Living for presentation,5/24/2024,28302927645
Deb Maloy,Abilities Services,,Sales - Inactive,IN,Austin,75,15%,5/1/2025,Local,Courier,3,Continue follow up for presentation date. Called Christy and left message.,10/6/2023,28300768063
Adam Chittam,Youth Villages - Memphis TN,Youth Villages,Sales - Initial Communication,National,Austin,200,20%,12/1/2025,local,FedEx,2,Working out details on a lunch/dinner with Dr. Lemmons and Head nurses,2/1/2024,28299002443
Adam Chittam,Thrive Upstate,,Sales - Initial Communication,SC,SC,200,10%,7/1/2025,Oasis Pharmacy,Courier,20,Keeping in touch with QA dept.  Enjoy our education.  Happy with current service but want to keep a relationship,8/1/2024,28297048977
Deb Maloy,Hattie Larlham,,Sales - Inactive,OH,Austin,164,75%,2/1/2025,Absolute,ICF/GH,6,REMOVE,8/6/2024,28297048976
Adam Chittam,Growing Homes SE (292242),,Onboarding - Complete,SC,SC,9,100%,6/1/2024,Multiple local,Courier,3,Onboarding directly through SC Pharmacy; had initial pre-onboarding call,3/21/2024,28304320859
Deb Maloy,Inspired Living,,Sales - Initial Communication,KY,Austin,22,15%,10/1/2025,Plaza Drug,FedEx,2,Sent follow up email to meet with her and owners.,2/8/2024,28296738699
Blaire Reed,Bettyes Healthcare Network (BHN) (2327),,Sales - Contract Negotiation,TX,Austin,49,50%,4/1/2025,Guardian,Cental Office,1,"Stopping by next week
",6/6/2024,28308144265
Deb Maloy,Infinite Abilities,,Sales - Initial Communication,KY,Austin,21,10%,10/1/2025,Local/Retail,FedEx,1,Follow up  continues,2/14/2024,28307990121
Deb Maloy,Flat Rock Care Center,,Sales - Inactive,OH,Austin,36,40%,2/1/2025,TBD,ICF/GH,1,Called Lisa Hart to check on situation as notes intereted in services (was doing review of med errors).,8/6/2024,28307466935
Nanette Wrobel,Abound Health 1 - NC (162002),Abound,Onboarding - Complete,NC,Austin,24,100%,5/1/2024,Randolf Pharmacy,unknown,20,"OB, 3/8: Need Confirmation of Transition...and MDs and which meds they prescribe; Sales: Onboarding call scheduled 1/26/24",10/1/2023,28305932100
Adam Chittam,Sunrise Community of Georgia - Thomasville (252062),Sunrise,Onboarding - Complete,GA,GA,11,100%,6/1/2024,Local,Central Office,1,moving forward with onboarding while transitioning to RHA,1/23/2023,28305158461
AJ Forster,Martha Lloyd Community Services ICF (372116),,Onboarding - Complete,PA,NJ,28,100%,4/1/2024,Local Pharmacy,Fed-ex,5,Sales: Marc generating contract 4/1,10/16/2023,28303703464
AJ Forster,RHD- Community Passages,RHD,Sales - Presentation,PA,NJ,21,50%,5/1/2025,Multiple,Hybrid,1,,,28301075579
Blaire Reed,Ahavah LLC (6102),,Onboarding - Complete,TX,Austin,12,100%,9/1/2024,Pharmacy Alternatives,Central Office,1,Updated agreement and resent out,2/16/2024,28299927975
Nanette Wrobel,AHRC Supported Living (362015),AHRC,Onboarding - Complete,NY,NJ,49,100%,7/1/2024,Various,,,,8/1/2023,28299154728
Deb Maloy,ICAN,,Sales - Initial Communication,MO,KS-Lawrence,40,25%,10/1/2025,Local,FedEx,4,Ongoing Follow up,3/29/2024,28296138339
Nanette Wrobel,CP North Country,CP,Sales - Presentation,NY,NJ,32,10%,9/1/2025,Health Direct,Courier,8,followup from previous rep,2/22/2024,28310151969
Deb Maloy,Residential Concepts,,Sales - Inactive,OH,Austin,30,50%,5/1/2025,Fitzgerald's,Courier,4,Don’t see them making a change anytime soon.,7/10/2024,28306397543
Nanette Wrobel,Blue Cap (412184),,Onboarding - Complete,IL,IL,50,100%,3/1/2024,PAL,Central Office,1,"OB: rec'd info from fac 2/5 (Admin times, Roster, demos, insurance, and orders- have packet and GH addresses/phone); Sales: contract signed 2 days after presentation",11/1/2023,28306089578
Nanette Wrobel,Lutheran Social Services Part 1 (412191),,Onboarding - Complete,IL,IL,8,100%,7/1/2024,8 retail pharmacies,deliver to home,2,signed contract obtained,11/1/2023,28305779211
Deb Maloy,Country View Manor,,Sales - Inactive,OH,Austin,20,15%,4/1/2025,RXIS,Courier,1,REMOVE,6/27/2024,28303237254
Holly DeRosett,Continuum of Colorado,,Sales - Initial Communication,CO,Austin,75,25%,6/1/2025,PDC,Central Office,,"both Char and Nickell, have left agency. They are waiting until their replacements start to open the conversation. 
",2/7/2024,28309847315
Nanette Wrobel,CP Rochester,CP,Sales - Initial Communication,NY,NJ,75,10%,9/1/2025,"Parkview, Upstate, Wegmans +",Courier,17,followup from previous rep,10/13/2023,28304320856
Adam Chittam,Orange Grove Center,,Sales - Contract Negotiation,TN,Austin,230,20%,7/1/2025,Pulmonaire (local),Central Office,2,Wants to check back in later in the year.  CEO giving current pharmacy a chance to follow through with current promises,1/1/2024,28303856029
AJ Forster,Heart 2 Heart North NJ (392010),,Onboarding - Complete,NJ,NJ,60,100%,9/1/2024,IPPC,Deliver to home,18,Contract in hand. Awaiting feedback from COO in regards to seperation from IPPC,2/16/2024,28302774528
Nanette Wrobel,ARC of Rensselaer,ARC,Sales - Initial Communication,NY,NJ,150,10%,9/1/2025,Multiple,Courier,80,followup from previous rep,2/22/2024,28307990120
Nanette Wrobel,Riverside Foundation,,Sales - Presentation,IL,IL,88,20%,6/1/2025,TBD,TBD,,"appointment 1/8/2025
",10/18/2024,28300610596
Nanette Wrobel,Clearbrook,,Sales - Initial Communication,IL,IL,250,30%,6/1/2025,Uvanta,deliver to office,1,putting off decision,8/30/2024,28298690090
Mary Pelletier,Sarah-Tuxis,,Sales - Initial Communication,CT,CT,68,30%,9/1/2025,Suburban,Courier,10,They deferred appt to after holidays,4/20/2024,32369565060
Adam Chittam,Sevita GA (Mentor),Sevita,Sales - Presentation,GA,GA,200,60%,6/1/2025,Dennards,Courier/FedEx,10,Reg. Dir. are happy with services but State Dir (Kevin) wants the 4 of us to have a meeting/presentation. Reconnected at SCAAIDD planning lunch for December,3/6/2024,28309691535
Blaire Reed,A Diverse Family 2,,Sales - Inactive,TX,Austin,25,100%,1/1/2025,,,,Signed Contract. Go live 11/1/2024,8/30/2024,28303392282
Deb Maloy,Beacon Specialized Living - Keystone PA (Part 2),Beacon Specialized Living,Sales - Inactive,PA,Austin,260,85%,2/1/2025,V Tech and PrimeCare,Group Homes,80,REMOVE,3/28/2023,28303082602
Blaire Reed,Lifetime Living,,Sales - Initial Communication,TX,Austin,100,10%,5/1/2025,South San Pharmacy & Harlingen Pharmacy,Central Office,1,Ongoing communication f/u,9/6/2024,28302161982
Deb Maloy,Choices for People,,Sales - Inactive,MO,IL,40,25%,6/1/2025,John's RX,FedEx,1,REMOVE,5/24/2024,28301075578
Nanette Wrobel,Open Gate,,Sales - Initial Communication,NY,NJ,56,10%,9/1/2025,,Courier,12,Setting mtg with jane Jarvis in Armonk in late May,5/3/2024,28300922226
Blaire Reed,Marlo Snerling,,Sales - Inactive,TX,Austin,15,10%,1/1/2025,Infinity,TBD,1,Remove from pipeline. This is a duplicate entry of Martez Place.,9/6/2024,28310765922
Nanette Wrobel,Lutheran Social Services Part 2,,Onboarding - In Progress,IL,IL,5,100%,2/1/2025,8 retail pharmacies,TBD,1,"saw ED at the Institute Summit conference, having challenges with new nurse ED says push",11/1/2023,28310457657
Jess Jacobs,Dependable Care (2523),,Onboarding - Complete,TX,Austin,18,100%,8/1/2024,Genoa,Central Office,1,"onboarding call scheduled for 7/1/2024, demographics and 2-pager collected, missing handful of med lists",6/28/2024,28310304348
Jess Jacobs,"Mainstream Living, Inc - Behavioral Health (472111)",Mainstream Living,Onboarding - Complete,IA,Austin,22,100%,2/1/2024,Medicap,Deliver to office,1,"Sales: Addendum signed, go live set for 2/1/2024, data gathering and scheudling onboaridng call for week of 12/18",6/19/2023,28309074296
Adam Chittam,InCommunity (GCSS) (252064),,Onboarding - Complete,GA,GA,138,100%,6/1/2024,PAL,Courier,5,Had onboarding call with IC team on Wed 1/24 and they are going to try to get GCSS rolled in with the EnAble for 4/1,6/23/2023,28303392281
Nanette Wrobel,Arc of Columbia,part of ARC,Onboarding - Complete,NY,NJ,66,100%,11/1/2024,TBD,TBD,,Contract to be signed,7/19/2024,28307466934
Adam Chittam,Adult Community Training (102032),,Onboarding - Complete,TN,Austin,49,100%,11/1/2024,DelMar,Central Office,2,Scheduling onboarding meeting for the week of 9/23,8/15/2023,28304848732
Adam Chittam,Pine Castle,,Sales - Presentation,FL,FL,38,40%,6/1/2025,Local,Central Office,1,"waiting to hear back from COO (Jose Rodriguez) for presentation date, might have to push to early December",8/23/2024,28302774529
Mary Pelletier,LARC- ARC of Litchfield,,Sales - Contract Negotiation,CT,CT,30,35%,4/1/2025,Petricone's,Courier,7,meeting with Ex.D to review Portal and QBR-DON has not been able to schedule.,8/9/2024,32369565563
AJ Forster,Divine Providence Village (372115),DGDP Communities,Onboarding - Complete,PA,NJ,71,100%,3/1/2024,Grane,TBD,8,Sales: Final stages of Contract Negotation. AJ and Marc working with Legal,3/1/2023,28309691534
Adam Chittam,Hampton County DSN,,Sales - Initial Communication,SC,SC,20,10%,7/1/2025,Preferred Care (Guardian),Courier,5,Group stopping by at SCAAIDD to discuss presentation,10/25/2024,28309381491
Nanette Wrobel,Evergreen Life Services - TN Nashville,,Sales - Inactive,TN,Austin,30,80%,6/1/2025,John's RX,FedEx,1,following up on opportunity from previous Rep,6/14/2024,28302774530
Deb Maloy,Benchmark Dublin - (182218),Benchmark Human Services,Onboarding - Complete,OH,Austin,9,100%,6/1/2024,Williams Brothers,Central Office,1,Notice was given to end services 5/31/24 with Wms. Bros,7/28/2023,28300922225
Deb Maloy,McElvain Homes Office (182205),,Onboarding - Complete,OH,Austin,31,100%,3/1/2024,Hursch,Deliver to Office,1,"OB: rec'd all data on 2/1, likely needs short cycle; Sales: Move to onboarding - contract received - Go live 3/1/24.",11/3/2023,28308763931
Blaire Reed,VOA - Baton Rouge,VOA,Sales - Initial Communication,LA,LA,14,10%,5/1/2025,Other,Central Office,1,"Continual Follow-up done. Working to reconnect on portal demo. Stopping by next week during LA

",4/3/2023,28303856028
Adam Chittam,Cornerstone Support Services,,Sales - Initial Communication,VA,Austin,25,20%,10/1/2025,Wellness Concepts,FedEx,4,spoke with Candy at the VNPP conference and following up for a meeting/presentation,10/9/2024,28301386923
AJ Forster,Community Options - King of Prussia (377012),Community Options,Onboarding - Complete,PA,NJ,24,100%,4/1/2024,PDC,dailies- home; CF office,1,"OB, 2/29: contract issues, pushing to 4/1 go live;",,28300610595
Blaire Reed,Martens Place,,Sales - Inactive,TX,Austin,5,100%,2/1/2025,Local,Deliver to home,1,,10/18/2024,28298846744
Blaire Reed,ADVO Companies,ADVO,Sales - Initial Communication,TX,Austin,100,10%,5/1/2025,Amarillo Diagnostic Clinic Pharmacy,Central Office,1,"DON rated pharmacy 4/10. Called and left message with staff 1/7
",4/17/2023,28310920578
AJ Forster,Children Care – Bonnie’s home (via triage) (386005),,Onboarding - Complete,DE,NJ,3,100%,3/1/2024,N/A,Central Office,1,"OB, 3/1: to go through triage; verify med list - 7 meds total?; Sales: Reaching back out to this individual",11/10/2024,28310457656
Blaire Reed,Audrey Grace House (2325),,Onboarding - Complete,TX,Austin,26,100%,5/1/2024,James McCoys,Central Office,1,Pharmacy Agreement signed 3/28/24.,2/9/2024,28308299435
Nanette Wrobel,NeuroRestorative Il Sevita,Sevita,Sales - Initial Communication,IL,IL,30,10%,6/1/2025,TBD,TBD,,"showed interest, need appointment",8/30/2024,28307466933
Deb Maloy,CSS,,Sales - Presentation,MO,KS-Lawrence,65,20%,11/1/2025,Aurburn,courier to all sites,35,"Presentation on Aug 20th went well. I do believe they may be interested but a few significant changes on their end will have to happen. One example, they support 65 people but currently have delievery to 35 sites. Candice requested a QRB, and PO.",8/16/2024,28307166755
Jess Jacobs,Class LTD - Pittsburg (Crawford) KS (481514),Class LTD,Onboarding - Complete,KS,KS-Wichita,20,100%,7/15/2024,Local(s),Central Office,1,"waiting for agreement to be signed and to collect rosters, will corrdinate onboarding call with Columbus location",2/23/2024,28305470289
AJ Forster,Community Options - Bucks (377010),Community Options,Onboarding - Complete,PA,NJ,34,100%,4/1/2024,PDC,dailies- home; CF office,1,"OB, 2/29: contract issues, pushing to 4/1 go live; Sales: Spoke with State Director. Expecting contract 1/26",,28305158460
Deb Maloy,Independent Opportunities,,Sales - Initial Communication,KY,Austin,60,15%,7/1/2025,Local/Retail,FedEx,4,"Called, got VM, left message to return call to arrange presentation.
",2/8/2024,28303237251
Blaire Reed,Texas Panhandle Centers (6111),,Onboarding - Complete,TX,Austin,44,100%,9/1/2024,Local Pharmacy,Central Office,1,Full presentation 7/18. Dan called and wanted to view agreement,6/28/2024,28303237250
Blaire Reed,New Danville,,Sales - Initial Communication,TX,Austin,36,10%,6/1/2025,Local,Central Office,1,"Met at CoAct. Follow up with Mike Painter and staff.
",4/19/2024,28300083232
Jess Jacobs,Higginsville Habilitation Center,State of Missouri Habiliation Centers,Sales - Inactive,MO,KS-Lawrence,45,25%,3/1/2025,Red Cross LTC Pharmacy,,1,"Coordinating presentation with Assistant Super, Tammie Guest, DON and hab center med team.",7/21/2023,28304848730
Mary Pelletier,ACORD-Association for Community Organizations and resource Development,,Sales - Initial Communication,CT,CT,50,20%,4/1/2025,Omnicare,Courier,12,"Drop in visit 1/3; Mtg with Jackie French Director of Program Services and QA- PJW RN coordinating calendars
",7/26/2024,32369564784
Mary Pelletier,Adelbrook,,Sales - Initial Communication,CT,CT,50,20%,10/1/2025,Multiple,Courier,10,"Res and Clinical director mtg rescheduled to after MLK Holiday
",7/19/2024,28307166753
Marc Altholz,Beacon (PA),,Onboarding - Complete,PA,NJ,7,100%,11/1/2024,HomeFreeRx,,,,,28300238210
Nanette Wrobel,Covenant Enabling Part 1 Illinois (412182),Covenent Church,Onboarding - Complete,IL,IL,28,100%,1/1/2024,PAL,Central Office,,Sales: signed contract to start 1/1/2024,7/1/2023,28299927974
Nanette Wrobel,Community Link (412195),,Onboarding - Complete,IL,IL,46,100%,9/1/2024,Rx Health,Central Office,1,10/1/24 go live,11/1/2023,28296738697
Blaire Reed,Louisiana Community Care (202005),,Onboarding - Complete,LA,LA,41,100%,5/1/2024,Cenla Pharmacy,Central Office,1,Pharmacy Agreement signed 4/1/24,3/8/2024,28309228443
Marc Altholz,Carolina Caring (NC),,Onboarding - Complete,NC,Austin,21,100%,11/1/2024,HomeFreeRx,,,served out of Austin,,28305932098
Nanette Wrobel,ACCESS CNY,,Sales - Initial Communication,NY,NJ,40,10%,9/1/2025,multiple- HealthDirect,Courier,10,followup from previous rep,10/20/2023,28303237249
Adam Chittam,"Quality Divine Services, Inc.",,Sales - Initial Communication,VA,Austin,15,10%,1/1/2026,Bremo,FedEx,1,Scheduling presentation,10/8/2024,28307166752
AJ Forster,RHD-Missouri IDD,RHD,Sales - Presentation,MO,KS-Wichita,50,90%,4/1/2025,TBD,Fed-Ex,2,Would like to move forward in the Spring. Confirming transition with DON on 1/6,5/17/2024,28304167318
AJ Forster,Midland Adult Services (392073),,Onboarding - Complete,NJ,NJ,47,100%,2/1/2024,Elizabeth,Deliver to Home,13,Sales: Contract signed 12/8,9/1/2023,28308299434
Adam Chittam,NeuroRestorative GA (Sevita),Sevita (Mentor),Sales - Presentation,GA,GA,21,50%,10/1/2025,Omnicare,Courier,1,"Minimal responsiveness, reapproaching discussions and gauging interest for 2025",3/1/2024,28306245438
Adam Chittam,Newberry County DSN,,Sales - Initial Communication,SC,SC,40,20%,4/1/2025,Palmetto Rx,Courier,3,"Nurse not happy with Palmetto service, hurdle is ED.  Working with nurse on how to get in front of leadership",7/11/2024,28302774456
Blaire Reed,Amandole HCS (6105),,Onboarding - Complete,TX,Austin,9,100%,9/1/2024,,Central Office,1,Contract signed for 9/1. Moving into onboarding,7/12/2024,28298350943
Adam Chittam,Vista Care - Part 1 - WI,VistaCare,Onboarding - In Progress,WI,IL,18,100%,1/1/2025,Multiple local (30 different),,,"Meeting with CEO, Dir of Compliance & Nursing, and Nursing Manager on Fri 9/6.  They are working with Impruvon and interested in consolidating pharmacy services as their organization is growing",8/27/2024,28306089576
Blaire Reed,DRI,,Sales - Contract Negotiation,TX,Austin,42,60%,5/1/2025,Local,Central Office,1,Reconnecting with local contacts. Sent gift basket,8/2/2024,28305779209
Adam Chittam,Beaufort DSN,,Sales - Initial Communication,SC,SC,50,20%,5/1/2025,Palmetto Rx,Courier,1,restarting communication to discuss options of how we can help,8/9/2025,28305158458
AJ Forster,DEC MC,,Sales - Initial Communication,DE,NJ,50,20%,5/1/2025,PDC,Deliver-to-home,1,"Spoke with DON, presentation to be scheduled",10/10/2023,28303237248
AJ Forster,Community Options - Philadelphia (377013),Community Options,Onboarding - Complete,PA,NJ,24,100%,4/1/2024,PDC,dailies- home; CF office,1,"OB, 2/29: contract issues, pushing to 4/1 go live;",,28299927973
